2020-10-26 19:53:11,141 ---登录功能开始--- INFO
2020-10-26 19:53:11,253 -输入用户名- INFO
2020-10-26 19:53:11,318 -输入密码- INFO
2020-10-26 19:53:11,720 -点击登录- INFO
2020-10-26 19:53:17,565 ---登录功能开始--- INFO
2020-10-26 19:53:17,624 -输入用户名- INFO
2020-10-26 19:53:17,677 -输入密码- INFO
2020-10-26 19:53:17,727 -点击登录- INFO
2020-10-26 19:56:16,927 ---登录功能开始--- INFO
2020-10-26 19:56:16,998 -输入用户名- INFO
2020-10-26 19:56:17,057 -输入密码- INFO
2020-10-26 19:56:17,269 -点击登录- INFO
2020-10-26 19:56:22,310 topFrame success INFO
2020-10-26 19:57:39,987 ---登录功能开始--- INFO
2020-10-26 19:57:40,057 -输入用户名- INFO
2020-10-26 19:57:40,112 -输入密码- INFO
2020-10-26 19:57:40,453 -点击登录- INFO
2020-10-26 19:57:45,530 topFrame success INFO
2020-10-26 19:58:15,839 mainFrame success INFO
2020-10-26 19:58:26,502 submit click success INFO
2020-10-26 19:59:48,122 ---登录功能开始--- INFO
2020-10-26 19:59:48,188 -输入用户名- INFO
2020-10-26 19:59:48,245 -输入密码- INFO
2020-10-26 19:59:48,452 -点击登录- INFO
2020-10-26 19:59:54,375 ---登录功能开始--- INFO
2020-10-26 19:59:54,438 -输入用户名- INFO
2020-10-26 19:59:54,494 -输入密码- INFO
2020-10-26 19:59:54,550 -点击登录- INFO
2020-10-26 20:02:41,538 ---登录功能开始--- INFO
2020-10-26 20:02:41,605 -输入用户名- INFO
2020-10-26 20:02:41,663 -输入密码- INFO
2020-10-26 20:02:41,862 -点击登录- INFO
2020-10-26 20:02:47,842 ---登录功能开始--- INFO
2020-10-26 20:02:47,901 -输入用户名- INFO
2020-10-26 20:02:47,954 -输入密码- INFO
2020-10-26 20:02:48,002 -点击登录- INFO
2020-10-26 20:03:51,534 ---登录功能开始--- INFO
2020-10-26 20:03:51,599 -输入用户名- INFO
2020-10-26 20:03:51,656 -输入密码- INFO
2020-10-26 20:03:51,866 -点击登录- INFO
2020-10-26 20:03:57,710 ---登录功能开始--- INFO
2020-10-26 20:03:57,767 -输入用户名- INFO
2020-10-26 20:03:57,819 -输入密码- INFO
2020-10-26 20:03:57,868 -点击登录- INFO
2020-10-26 20:05:06,761 ---登录功能开始--- INFO
2020-10-26 20:05:06,828 -输入用户名- INFO
2020-10-26 20:05:06,886 -输入密码- INFO
2020-10-26 20:05:07,069 -点击登录- INFO
2020-10-26 20:05:12,098 topFrame success INFO
2020-10-26 20:05:42,291 mainFrame success INFO
2020-10-26 20:05:52,854 submit click success INFO
2020-10-26 20:06:27,868 ---登录功能开始--- INFO
2020-10-26 20:06:27,934 -输入用户名- INFO
2020-10-26 20:06:27,994 -输入密码- INFO
2020-10-26 20:06:28,215 -点击登录- INFO
2020-10-26 20:06:51,387 ---登录功能开始--- INFO
2020-10-26 20:06:51,528 -输入用户名- INFO
2020-10-26 20:06:51,586 -输入密码- INFO
2020-10-26 20:06:51,834 -点击登录- INFO
2020-10-26 20:06:56,861 topFrame success INFO
2020-10-26 20:07:26,985 mainFrame success INFO
2020-10-26 20:07:37,565 submit click success INFO
2020-10-26 20:08:00,268 ---登录功能开始--- INFO
2020-10-26 20:08:00,332 -输入用户名- INFO
2020-10-26 20:08:00,391 -输入密码- INFO
2020-10-26 20:08:00,725 -点击登录- INFO
2020-10-26 20:08:05,755 topFrame success INFO
